cumulative_distance,route,average_ttime,scenario_name,year,year_scenario,vehicle_type,hour
365.06,Morningside SB,0.5673419613120035,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
372.68,Morningside SB,0.5768669613120035,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
394.78,Morningside SB,0.6044919613120036,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
410.67,Morningside SB,0.6243544613120036,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
424.66,Morningside SB,0.6418419613120036,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
445.09,Morningside SB,0.6673794613120035,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
463.14,Morningside SB,0.68948150212833,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
480.87,Morningside SB,0.7111917062099627,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
539.58,Morningside SB,0.78308150212833,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
587.33,Morningside SB,0.8403815021283302,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
